Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
672.0,672.0,3.0,1,256.0,,2,38.095238095238095
33885.0,33885.0,477.0,1,30592.0,,1,90.28183562048105
6473.0,6473.0,94.0,1,6080.0,,1,93.92862660281168
147.0,147.0,3.0,1,256.0,,3,174.14965986394557
10126.0,10126.0,159.0,1,10240.0,,1,101.12581473434723
6303.0,6303.0,57.0,1,3712.0,,4,58.892590829763606
9528.0,9528.0,129.0,1,8320.0,,4,87.3215785054576
15.0,15.0,1.0,1,128.0,,3,853.3333333333334
764.0,764.0,12.0,1,832.0,,1,108.90052356020942
234.0,234.0,4.0,1,320.0,,0,136.75213675213675
97.0,97.0,2.0,1,192.0,,3,197.93814432989691
706.0,706.0,12.0,1,832.0,,0,117.8470254957507
